Date,day,holiday
1/1/20,Wednesday,New Year's Day
1/27/2020,monday,"Chinese New Year
"
4/10/20,Friday,Good Friday
5/1/20,Friday,Labour Day
5/7/20,Thursday,Vesak Day
5/25/2020,monday,Hari Raya Puasa
7/10/20,Friday,Polling Day
7/31/2020,Friday,Hari Raya Haji
8/9/20,Sunday,National Day
8/10/20,monday,National Day
11/14/2020,Saturday,Deepavali
12/25/2020,Friday,Christmas Day
1/1/21,Friday,New Year's Day
2/12/21,Friday,Chinese New Year
4/2/21,Friday,Good Friday
5/1/21,Saturday,Labour Day
5/13/2021,Thursday,Hari Raya Puasa
5/26/2021,Wednesday,Vesak Day
7/20/2021,Tuesday,Hari Raya Haji
8/9/21,Monday,National Day
11/4/21,Thursday,Deepavali
12/25/2021,Saturday,Christmas Day
1/1/22,Saturday,New Year's Day
2/1/22,Tuesday,Chinese New Year
2/2/22,Wednesday,Chinese New Year
4/15/2022,Friday,Good Friday
5/1/22,Sunday,Labour Day
5/2/22,Monday,Hari Raya Puasa
5/15/2022,Sunday,Vesak Day
7/9/22,Saturday,Hari Raya Haji
8/9/22,Tuesday,National Day
24/10/22,Monday,Deepavali
24/12/22,Saturday,Eve of Christmas
25/12/22,Sunday,Christmas Day
31/12/22,Saturday,Eve of New Year